Fname,Lname,Address,Phone #,Email,SSN,DOB,AccountType,Balance,TransType,Currency,Amount
John,O'Neil,123 Maple St,708-245-6758,jn@hotmail.com,234659875,1995-02-01,Checkings,9105.37,Withdrawal,USD,772.43
Mary,O'Neil,123 Maple St,312-981-9171,maryon@yahoo.com,324654786,1963-12-04,Savings,17725.74,Purchase,USD,714.82
Michael,Flannery,456 Oak Dr,815-534-7658,FatherMike@yahoo.com,354267398,1960-10-14,Savings,3215.11,Withdrawal,USD,195.94
Francois,Delacourt,789 Pine Rd,309-456-8322,Fdela@gmail.com,245763487,1969-09-20,Checkings,1097.2,Deposit,USD,1074.3
Stephen,Browder,102 Cedar Rd,815-685-2188,Sbrowder@gmail.com,242125973,1996-12-18,Checkings,5498.62,Deposit,USD,2301.12
Kate ,O'Gara,384 Elm St,217-464-0512,kogara@mail.com,123654086,1972-01-25,Savings,20630.93,Withdrawal,USD,2109.51
Joseph ,Herity,576 Lake Ave,708-491-5476,jh@hotmail.com,321067633,1976-05-05,Checkings,3211.51,Deposit,USD,3841.12
Leo,McCarthy,2938 Sixth St,708-238-3770,leo333@comcast.net,324765490,1961-02-13,Savings,4676.12,Purchase,USD,679.52
Fran,Bley,1435 Park Pl,815-463-9275,bleyday@comcast.net,297347620,1993-05-26,Savings,3477.63,Purchase,USD,372.95
Max,Dunn,828 Church Dr,708-603-0525,dunn77@yahoo.com,156753487,1962-07-03,Savings,14920.91,Purchase,USD,665.23
William,Ruckerman,86 N Walnut St,708-800-6386,williwoo@gmail.com,324542674,1994-06-19,Savings,6826.49,Purchase,USD,64.95
Jim,Saddler,75 Main St,240-436-2058,jsad@yahoo.com,289079868,1997-04-25,Checkings,4041.15,Purchase,USD,73.04
Shaneen,Mulvaney,432 S Main St,619-304-4016,shaneenm@mail.com,356467589,1969-02-13,Checkings,3913.3,Purchase,USD,512.19
Flynn,Jones,267 Sunset Dr,815-342-5698,flyman@yahoo.com,241356754,1978-03-12,Savings,10493.59,Purchase,USD,539.44
Gus,Jones,267 Sunset Dr,309-945-3646,gusgus@yahoo.com,156375987,1999-11-21,Checkings,1599.71,Purchase,USD,511.63
Sylvia,Trotter,386 River Rd,815-735-2615,slyvs@mail.com,324157867,1989-12-08,Checkings,2630.11,Purchase,USD,309.77
Christian,Becket,28 South St,309-340-3929,cb123@yahoo.com,375216535,1995-12-18,Checkings,3259.69,Deposit,USD,1688.99
Lou,Danzas,45 Ridge Rd,623-552-2459,louhoo@mail.com,230958361,1958-04-27,Savings,3222.26,Deposit,USD,1645.72
