Fname,Lname,Address,PhoneNumber,Email,Ssn,DateOfBirth,AccountType,Balance,DateOpened,TransactionType,CurrencyCode,Amount,TransactionDate
John,O'Neil,123 Maple St,708-245-6758,jn@hotmail.com,234659875,1961-11-27,Joint,17725.74,1995-04-02,Deposit,USD,772.43,2026-03-01
Mary,O'Neil,123 Maple St,312-981-9171,maryon@yahoo.com,324654786,1962-05-19,Joint,18498.17,1995-04-02,Withdrawal,USD,714.82,2026-03-02
Michael,Flannery,456 Oak Dr,815-534-7658,FatherMike@yahoo.com,354267398,1987-05-22,Savings,3215.11,2000-05-01,Deposit,USD,195.94,2026-03-03
Francois,Delacourt,789 Pine Rd,309-456-8322,Fdela@gmail.com,245763487,1959-05-20,Checking,1097.2,1990-07-25,Deposit,USD,1074.3,2026-03-04
Stephen,Browder,102 Cedar Rd,815-685-2188,Sbrowder@gmail.com,242125973,1992-03-19,Business,15498.62,2005-06-03,Purchase,EUR,2301.12,2026-03-05
Kate ,O'Gara,384 Elm St,217-464-0512,kogara@mail.com,123654086,2001-01-16,Student,630.93,2014-03-03,Purchase,USD,21.51,2026-03-06
Joseph ,Herity,576 Lake Ave,708-491-5476,jh@hotmail.com,321067633,1957-11-11,Savings,3211.51,1970-05-06,Deposit,USD,3841.12,2026-03-07
Leo,McCarthy,2938 Sixth St,708-238-3770,leo333@comcast.net,324765490,1992-10-10,Checking,4676.12,2002-02-01,Withdrawal,USD,679.52,2026-03-08
Fran,Bley,1435 Park Pl,815-463-9275,bleyday@comcast.net,297347620,1996-09-08,Student,3477.63,2016-08-04,Deposit,USD,372.95,2026-03-09
Max,Dunn,828 Church Dr,708-603-0525,dunn77@yahoo.com,156753487,1974-06-24,Checking,14920.91,2000-08-09,Withdrawal,USD,665.23,2026-03-10
William,Ruckerman,86 N Walnut St,708-800-6386,williwoo@gmail.com,324542674,1958-08-13,Retirement,6826.49,1980-04-12,Deposit,USD,64.95,2026-03-11
Jim,Saddler,75 Main St,240-436-2058,jsad@yahoo.com,289079868,1973-09-28,Checking,4041.15,2003-09-13,Purchase,USD,73.04,2026-03-12
Shaneen,Mulvaney,432 S Main St,619-304-4016,shaneenm@mail.com,356467589,1997-11-08,Business,10493.59,2014-07-04,Purchase,JPY,512.19,2026-03-13
Flynn,Jones,267 Sunset Dr,815-342-5698,flyman@yahoo.com,241356754,1961-05-20,Joint,10493.59,1999-04-09,Purchase,USD,539.44,2026-03-14
Gus,Jones,267 Sunset Dr,309-945-3646,gusgus@yahoo.com,156375987,1963-06-18,Joint,9954.15,1997-05-05,Purchase,USD,511.63,2026-03-15
Sylvia,Trotter,386 River Rd,815-735-2615,slyvs@mail.com,324157867,1977-03-18,Checking,2630.11,2001-05-06,Purchase,USD,309.77,2026-03-16
Christian,Becket,28 South St,309-340-3929,cb123@yahoo.com,375216535,1995-04-22,Savings,3259.69,2024-03-02,Withdrawal,USD,1688.99,2026-03-17
Lou,Danzas,45 Ridge Rd,623-552-2459,louhoo@mail.com,230958361,1990-10-26,Savings,3222.26,2006-09-06,Deposit,USD,1645.72,2026-03-18
Jost,Hupp,288 Cherry Ave,424-286-4773,suphupp@comcast.net,346902631,1963-01-12,Business,23045.56,2013-04-11,Purchase,CAD,2879.18,2026-03-19
Sergei,Lepikov,84 Chestnut Dr,815-931-3657,sergeil@comcast.net,145762970,1999-08-15,Business,28140.91,2024-08-04,Purchase,MXN,1217.11,2026-03-20
Dorena,Godelinsky,66 Circle Dr,469-242-6512,dorenag@comcast.net,653289045,1961-02-10,Checking,8459.8,2002-03-02,Deposit,USD,777.55,2026-03-21
Ariane,Foss,754 Mill Pl,708-510-4446,afoss@mail.com,534216732,1972-07-17,Savings,9166.55,2005-09-09,Deposit,USD,348.46,2026-03-22
Kimberly,Gonzales,32 Lakeview Dr,815-708-3640,kgonzal@mail.com,423153786,2003-09-06,Checking,7434.72,2023-09-06,Deposit,USD,798.05,2026-03-23
Kathy,Ruiz,13 School St,708-843-2496,kathyyy@yahoo.com,236541790,1954-08-17,Investment,19505.1,2000-04-05,Deposit,USD,690.27,2026-03-24
Eric,Whitney,29 West St,708-224-5646,ghoste@gmail.com,673876297,1999-07-18,Business,20321.79,2024-09-10,Purchase,NGN,2168.58,2026-03-25
