BranchName,StreetAddress,City,State,ZipCode,PhoneNumber,RoutingNumber,BranchID,Job_Description,BranchID_1,Job_TitleID,Fname,Lname,Salary,Essn
Peoria Branch,190 Adams Street,Peoria,IL,61525,380-234-2123,834574034,,Branch Manager,,,John,Smith,50000,218095315
Peoria Branch,191 Adams Street,Peoria,IL,61525,380-234-2123,834574034,,Mortgage Consultant ,,,Jane,Johnson,70000,218042430
Peoria Branch,192 Adams Street,Peoria,IL,61525,380-234-2123,834574034,,Loan Officer,,,Noah,Williams,75000,218007621
Peoria Branch,193 Adams Street,Peoria,IL,61525,380-234-2123,834574034,,Teller,,,Alex,Brown,50000,218015286
Peoria Branch,194 Adams Street,Peoria,IL,61525,380-234-2123,834574034,,Teller,,,Sam,Jones,55000,218092414
Peoria Branch,196 Adams Street,Peoria,IL,61525,380-234-2123,834574034,,Loan Officer,,,Kelly,Miller,65000,218097577
Peoria Branch,197 Adams Street,Peoria,IL,61525,380-234-2123,834574034,,Loan Officer,,,Kevin,Davis,60000,218012595
Peoria Branch,198 Adams Street,Peoria,IL,61525,380-234-2123,834574034,,Mortgage Consultant ,,,Loan,Rodriguez,70000,218053046
Peoria Branch,200 Adams Street,Peoria,IL,61525,380-234-2123,834574034,,Teller,,,Carly,Hernandez,45000,218030093
Peoria Branch,203 Adams Street,Peoria,IL,61525,380-234-2123,834574034,,Teller,,,Maggie,Lopez,50000,218008509
Peoria Branch,204 Adams Street,Peoria,IL,61525,380-234-2123,834574034,,Loan Officer,,,Jen,Wilson,60000,218092913
East Peoria Branch,1400 Camp Street,East Peoria ,IL,61611,903-345-3455,309674936,,Loan Officer,,,Mia,Anderson,55000,218018171
East Peoria Branch,1400 Camp Street,East Peoria ,IL,61611,903-345-3455,309674936,,Teller,,,Abby,Thomas,40000,218084187
East Peoria Branch,1400 Camp Street,East Peoria ,IL,61611,903-345-3455,309674936,,Branch Manager,,,Sophie,Taylor,48000,218060660
East Peoria Branch,1400 Camp Street,East Peoria ,IL,61611,903-345-3455,309674936,,Mortgage Consultant ,,,Michelle,Moore,50000,218057714
East Peoria Branch,1400 Camp Street,East Peoria ,IL,61611,903-345-3455,309674936,,Teller,,,Natalie,Jackson,55000,218060451
East Peoria Branch,1400 Camp Street,East Peoria ,IL,61611,903-345-3455,309674936,,Loan Officer,,,Josh,Lee,80000,218013798
East Peoria Branch,1400 Camp Street,East Peoria ,IL,61611,903-345-3455,309674936,,Mortgage Consultant ,,,Jami ,Perez,77000,218061144
East Peoria Branch,1400 Camp Street,East Peoria ,IL,61611,903-345-3455,309674936,,Teller,,,Jessie,Thompson,65000,218049779
Washington Branch,900 Park Street,Washington,IL,61548,840-483-5403,475409234,,Mortgage Consultant ,,,Mary,Miller,50000,218048237
Washington Branch,900 Park Street,Washington,IL,61548,840-483-5403,475409234,,Teller,,,Patricia,Jones,55000,218036834
Washington Branch,900 Park Street,Washington,IL,61548,840-483-5403,475409234,,Branch Manager,,,Linda,Smith,60000,218037197
Washington Branch,900 Park Street,Washington,IL,61548,840-483-5403,475409234,,Teller,,,Michael,Williams,50000,218099026
Washington Branch,900 Park Street,Washington,IL,61548,840-483-5403,475409234,,Loan Officer,,,Mary,Roberts,70000,218048724
Washington Branch,900 Park Street,Washington,IL,61548,840-483-5403,475409234,,Mortgage Consultant ,,,John,Davis,75000,218067581
Washington Branch,900 Park Street,Washington,IL,61548,840-483-5403,475409234,,Loan Officer,,,James,Martinez,80000,218076896
Washington Branch,900 Park Street,Washington,IL,61548,840-483-5403,475409234,,Teller,,,Brodie,Brown,55000,218085298
Germantown Branch,800 Oak Street,Germantown,IL,61758,509-239-4930,345303448,,Teller,,,Brock,Shaw,57000,218077128
Germantown Branch,800 Oak Street,Germantown,IL,61758,509-239-4930,345303448,,Teller,,,Bob,Jackson,56000,218013213
Germantown Branch,800 Oak Street,Germantown,IL,61758,509-239-4930,345303448,,Loan Officer,,,Abby,Jordan,70000,218094252
Germantown Branch,800 Oak Street,Germantown,IL,61758,509-239-4930,345303448,,Branch Manager,,,Natalie,Smith,80000,218063524
Germantown Branch,800 Oak Street,Germantown,IL,61758,509-239-4930,345303448,,Teller,,,Patricia,Johnson,60000,218062819
Germantown Branch,800 Oak Street,Germantown,IL,61758,509-239-4930,345303448,,Loan Officer,,,Linda,Adams,65000,218018654
Germantown Branch,800 Oak Street,Germantown,IL,61758,509-239-4930,345303448,,Mortgage Consultant ,,,Jen,Notto,75000,218021449
